timestamp,Basel Temperature [2 m elevation corrected]
20180111T1100,7.6605287
20180111T1200,8.110529
20180111T1300,8.460529
20180111T1400,8.730529
20180111T1500,8.280529
20180111T1600,7.8505287
20180111T1700,7.5005283
20180111T1800,7.0105286
20180111T1900,6.6505284
20180111T2000,6.4005284
20180111T2100,6.0705285
20180111T2200,5.7405286
20180111T2300,5.3605285
20180112T0000,5.0205283
20180112T0100,4.7605286
20180112T0200,4.5605288
20180112T0300,4.3805285
20180112T0400,4.2005286
20180112T0500,3.9205287
20180112T0600,3.7805285
20180112T0700,3.7305286
20180112T0800,3.9705286
20180112T0900,4.7805285
20180112T1000,6.1105285
20180112T1100,7.2305284
20180112T1200,5.1305285
20180112T1300,4.6605287
20180112T1400,4.3205285
20180112T1500,4.4505286
20180112T1600,4.4905286
20180112T1700,4.6205287
20180112T1800,4.5905285
20180112T1900,4.4105287
20180112T2000,4.3405285
20180112T2100,4.1105285
20180112T2200,3.9605286
20180112T2300,3.4805286
20180113T0000,2.2405286
20180113T0100,1.7705287
20180113T0200,1.2805287
20180113T0300,1.1805286
20180113T0400,1.3605287
20180113T0500,1.2805287
20180113T0600,0.98052865
20180113T0700,0.61052865
20180113T0800,0.48052865
20180113T0900,1.0405287
20180113T1000,1.9605286
20180113T1100,3.2005286
20180113T1200,5.0705285
20180113T1300,6.1705284
20180113T1400,6.7705283
20180113T1500,6.7205286
20180113T1600,5.7005286
20180113T1700,4.1205287
20180113T1800,2.6805286
20180113T1900,1.2205287
20180113T2000,0.24052864
20180113T2100,-0.04947134
20180113T2200,0.37052867
20180113T2300,1.3505287
20180114T0000,1.0605286
20180114T0100,0.49052867
20180114T0200,0.14052865
20180114T0300,-0.29947135
20180114T0400,-0.34947133
20180114T0500,-0.23947135
20180114T0600,0.030528657
20180114T0700,-0.04947134
20180114T0800,0.26052865
20180114T0900,1.4005287
20180114T1000,2.6605287
20180114T1100,3.8305285
20180114T1200,6.2805285
20180114T1300,7.3105288
20180114T1400,7.5705285
20180114T1500,7.0905285
20180114T1600,5.9805284
20180114T1700,4.5505285
20180114T1800,3.0805285
20180114T1900,2.3905284
20180114T2000,2.0205286
20180114T2100,1.5605286
20180114T2200,1.0805286
20180114T2300,0.47052866
20180115T0000,1.1505287
20180115T0100,1.1805286
20180115T0200,1.0105287
20180115T0300,1.4605286
20180115T0400,1.6405287
20180115T0500,2.1605287
20180115T0600,2.1005285
20180115T0700,2.1605287
20180115T0800,2.8405285
20180115T0900,3.6705287
20180115T1000,5.3505287
20180115T1100,7.5605288
20180115T1200,9.0505295
20180115T1300,10.420529
20180115T1400,10.160529
20180115T1500,8.630529
20180115T1600,7.7505283
20180115T1700,7.2805285
20180115T1800,7.2205286
20180115T1900,7.4505286
20180115T2000,7.6105285
20180115T2100,7.3605285
20180115T2200,6.790529
20180115T2300,6.9105287
20180116T0000,6.8405285
20180116T0100,6.9905286
20180116T0200,6.8805285
20180116T0300,6.6305285
20180116T0400,6.6105285
20180116T0500,6.4905286
20180116T0600,6.5205283
20180116T0700,6.7305284
20180116T0800,6.9805284
20180116T0900,7.5605288
20180116T1000,7.6505284
20180116T1100,7.9505286
20180116T1200,9.200529
20180116T1300,8.830529
20180116T1400,8.460529
20180116T1500,8.180529
20180116T1600,7.8105288
20180116T1700,7.5505285
20180116T1800,7.3205285
20180116T1900,6.9705286
20180116T2000,6.6905284
20180116T2100,6.2305284
20180116T2200,6.0605288
20180116T2300,5.8505287
20180117T0000,5.5305285
20180117T0100,4.8605285
20180117T0200,4.5805287
20180117T0300,4.2505283
20180117T0400,3.8005285
